species_key,binomial,EQ_residual,EQ_z,temp_mean_C,temp_source,BMR_z,lon_z
ursus_arctos,Ursus arctos,-0.04510846066305595,-0.17821331497934875,-4.656000000000001,PanTHERIA,0.05676494145492852,0.866716206900783
ursus_maritimus,Ursus maritimus,-0.06423372585344375,-0.2537729075555067,NA,NA,0.6557566484871834,0.25284128207833445
ursus_americanus,Ursus americanus,0.024067166498641768,0.0950839257389171,0.389,PanTHERIA,1.1439317250574543,0.35134210926064663
vulpes_vulpes,Vulpes vulpes,0.1813826526942358,0.7166017935713297,3.4320000000000004,PanTHERIA,0.7011442748225608,0.1397772912606983
vulpes_lagopus,Vulpes lagopus,0.2075267264351356,0.8198911095875203,-9.038,PanTHERIA,0.5617276005589077,0.23091054474710404
canis_lupus,Canis lupus,0.07921153891697875,0.3129468558117302,0.48200000000000004,PanTHERIA,1.3421684395512146,0.6087488968577396
canis_latrans,Canis latrans,0.19585994853357563,0.7737983115979037,5.8180000000000005,PanTHERIA,0.5115228007579509,0.441663162353672
lycaon_pictus,Lycaon pictus,0.08832227335909774,0.3489413048122108,23.555000000000003,PanTHERIA,1.66149479319952,-0.8082250508427343
panthera_leo,Panthera leo,-0.10830936130408617,-0.42790576396471375,23.438000000000002,PanTHERIA,0.8816766303395679,0.14004802577905737
panthera_tigris,Panthera tigris,-0.11090574710221583,-0.4381634964000161,21.151,PanTHERIA,0.9283103643407937,-0.07040100507763405
panthera_pardus,Panthera pardus,-0.016162062267697598,-0.0638526487335449,20.763,PanTHERIA,NA,0.06870240439881989
mustela_erminea,Mustela erminea,-0.2523579842383805,-0.9970092588298317,-2.822,PanTHERIA,NA,-0.14913980984440442
mustela_putorius,Mustela putorius,-0.1007106851223359,-0.3978851148026948,6.388000000000001,PanTHERIA,1.0669484889905008,0.5242139025705875
enhydra_lutris,Enhydra lutris,-0.047184567235540584,-0.18641554199162902,NA,NA,1.6757951819327517,0.6800799052644075
meles_meles,Meles meles,-0.10943900388662266,-0.4323687260435891,NA,NA,0.3263711623194603,-0.01843706528580466
pan_troglodytes,Pan troglodytes,0.4479029670194459,1.7695632120516183,24.168000000000003,PanTHERIA,0.43635247300068014,1.602544149841191
pan_paniscus,Pan paniscus,0.43271265366147443,1.7095497232447099,25.033,PanTHERIA,NA,1.3327407025227551
gorilla_gorilla,Gorilla gorilla,0.22912212148963967,0.9052096259895623,24.243000000000002,PanTHERIA,NA,1.157048237629694
