binomial,BM_kg,BMR_W,MaxLon_yr,BMR_residual,lon_residual,BMR_z,lon_z,PES,source
Capreolus capreolus,21.5,46.347,17.5,0.2427,-0.0869,1.375,-0.3186,1.0564,AnAge
Madoqua kirkii,4.29,11.966,17.3,0.1604,0.0388,0.9084,0.1423,1.0507,AnAge
Macrotus californicus,0.0117,0.082,17.0,-0.1512,0.5101,-0.8564,1.8696,1.0132,AnAge
Otolemur garnettii,1.314,3.927,20.0,0.0477,0.1978,0.2703,0.7248,0.9952,AnAge
Suncus etruscus,0.0024,0.063,3.2,0.2314,-0.0867,1.3105,-0.3176,0.9929,AnAge
Lepus timidus,3.0145,8.443,18.0,0.1196,0.0847,0.6776,0.3103,0.9879,AnAge
Euoticus elegantulus,0.2615,1.205,15.0,0.0412,0.2038,0.2333,0.7468,0.9801,AnAge
Callithrix pygmaea,0.1239,0.6364,15.1,-0.0018,0.2672,-0.0102,0.9794,0.9691,PanTHERIA
Sicista betulina,0.01,0.179,4.0,0.2371,-0.1055,1.343,-0.3867,0.9564,AnAge
Erythrocebus patas,3.0,5.958,30.0,-0.0303,0.3069,-0.1714,1.1248,0.9534,AnAge
Sorex vagrans,0.0052,0.157,2.08,0.3853,-0.3358,2.1826,-1.2305,0.9521,AnAge
Ochotona princeps,0.109,0.932,7.0,0.2042,-0.0562,1.1565,-0.2061,0.9504,AnAge
Galago senegalensis,0.1715,0.764,17.1,-0.0244,0.2949,-0.1379,1.0808,0.9429,AnAge
Connochaetes taurinus,196.5,230.073,24.3,0.2444,-0.1238,1.3841,-0.4538,0.9303,AnAge
Pteropus poliocephalus,0.598,1.768,23.6,-0.0518,0.3335,-0.2937,1.2223,0.9286,AnAge
Herpestes javanicus,0.611,2.248,16.6,0.0457,0.179,0.259,0.6559,0.9148,AnAge
Noctilio leporinus,0.061,0.4,11.8,0.0189,0.2176,0.1073,0.7976,0.905,AnAge
Leopardus pardalis,10.5,17.368,28.2,0.0413,0.1784,0.2341,0.6539,0.888,AnAge
Rangifer tarandus,85.0,119.66,21.8,0.2234,-0.103,1.2653,-0.3775,0.8878,AnAge
Gerbilliscus afra,0.1065,1.016,5.7,0.2489,-0.1436,1.41,-0.5262,0.8839,AnAge
Erethizon dorsatus,6.871,13.675,23.4,0.0706,0.1318,0.3997,0.483,0.8827,AnAge
Galagoides demidoff,0.0624,0.372,13.4,-0.0197,0.271,-0.1115,0.9933,0.8817,AnAge
Pteropus rodricensis,0.2545,0.753,28.0,-0.1545,0.4771,-0.8751,1.7483,0.8732,AnAge
Bettongia penicillata,1.018,3.132,18.8,0.0296,0.1916,0.1675,0.7022,0.8697,AnAge
Eulemur fulvus,2.3741,4.239,35.5,-0.1047,0.399,-0.5929,1.4623,0.8694,AnAge
Octodon degus,0.1996,0.958,14.0,0.0263,0.1957,0.149,0.7173,0.8664,AnAge
Eira barbara,2.95,6.811,22.3,0.0331,0.1795,0.1877,0.6577,0.8453,AnAge
Apodemus sylvaticus,0.0238,0.264,6.3,0.1338,0.0214,0.7579,0.0786,0.8364,AnAge
