pos	5pC>T
1	0.0949099061695591
2	0.0393634196970862
3	0.0187479621780241
4	0.0137465633591602
5	0.0101588756492515
6	0.00924574209245742
7	0.00789113455189629
8	0.00714053878610841
9	0.00715272697716004
10	0.00724579982482682
11	0.00740263920180238
12	0.00641858953526162
13	0.00646481178396072
14	0.00633520449077787
15	0.00764425447969752
16	0.0065665271279652
17	0.00645055932064996
18	0.0050020500205002
19	0.00757822685788787
20	0.00637816890037139
21	0.00629444944003924
22	0.00545409470291711
23	0.00685207577589682
24	0.00637839628893307
25	0.00690562315027951
